City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
326,Ipora,BR,-16.4419,-51.1178,83.66,39,86,4.47,overcast clouds
327,Bathsheba,BB,13.2167,-59.5167,84.81,74,75,17.27,broken clouds
328,Isla Mujeres,MX,21.2311,-86.731,84.25,76,98,10.78,overcast clouds
329,Krasnoye,UA,49.9145,24.6134,51.19,63,100,4.97,overcast clouds
330,Carsamba,TR,41.1989,36.7219,58.75,77,75,8.05,broken clouds
331,Burnie,AU,-41.0667,145.9167,60.84,82,50,8.14,scattered clouds
332,Saint George,US,37.1041,-113.5841,77.47,16,1,1.99,clear sky
333,Yerbogachen,RU,61.2767,108.0108,34.03,73,21,4.79,few clouds
334,Accra,GH,5.556,-0.1969,77.16,88,84,9.86,light rain
335,Valdivia,CL,-39.8142,-73.2459,46.49,98,100,0.58,overcast clouds
336,Husavik,IS,66.0449,-17.3389,40.91,83,100,19.93,overcast clouds
337,Champerico,GT,14.3,-91.9167,84.34,78,100,4.25,overcast clouds
338,Tazovskiy,RU,67.4667,78.7,32.0,93,100,18.39,overcast clouds
339,Binzhou,CN,37.3667,118.0167,80.28,79,0,4.7,light rain
340,Hobbs,US,32.7026,-103.136,69.03,74,1,3.0,clear sky
341,Vilyuysk,RU,63.7553,121.6247,32.68,53,67,5.1,broken clouds
342,Bentiu,SS,9.2333,29.8333,73.44,78,7,2.26,clear sky
343,Soyo,AO,-6.1349,12.3689,75.27,83,100,6.06,overcast clouds
344,Wuda,CN,39.4994,106.7117,66.51,20,0,3.27,clear sky
345,Lasa,IT,46.6166,10.7002,56.03,90,72,2.33,broken clouds
